ID,REL
3,1
4,2
5,2
6,1
6,5
6,4
7,4
8,2
9,5
9,4
10,5
10,6
11,3
11,6
12,3
13,8
14,8
15,10
15,11
30,10
30,11
16,12
16,6
17,6
25,9
26,9
18,10
18,11
27,12
28,6
28,11
19,14
19,13
20,9
21,9
22,6
22,17
23,19
24,9
