id,nombre
1,ag
2,c0
3,f1
4,q1
5,c1
6,f2
7,c2
8,c4
9,f2
10,fp
11,ed
12,cp
13,f3
14,tp
15,epm
16,ei
17,ed
18,bd
19,al
20,arq
21,si
22,lp
23,mp
24,so
25,si2
26,ac
27,lp2
28,tc
29,io
30,en
31,rd
32,is
33,dp
36,aso
37,pa
38,dp2
39,mc
40,io2
41,si
42,vd
43,tg
44,pm
49,tw
53,ia
54,gc
55,tc
57,se
58,am
59,ad
60,hci
