id,nombre
1,MAT171
2,CSC221
3,CSC207
4,CS552
6,CS175
7,MAT267 
8,CSC140
9,CS475 
10,CSU-DS
11,UH-AI
12,CWRU
13,RU STY1
15,Utrect-LC
16,CPSC215
17,FIT3063
18,CS169
19,CS 2200
22,CSWP
23,CSMP
24,CSCI 136
25,CSC-161
26,CS-1101
30,ag
31,c0
32,f1
33,q1
34,f2
35,c2
36,c4
37,f2
38,cp
39,f3
40,ei
41,ed
42,mp
43,si2
44,ac
45,tc
46,io
47,en
48,mp
49,adm
50,aso
51,pa
52,mc
53,io2
54,vd
55,tg
56,au
57,si
58,aso
59,sc
60,in
61,si
62,cs
63,tc
64,sig
65,se
66,am
67,ad
