id,nombre
1,MAT171
2,CSC221
3,csc207
4,CSC552
5,COSCMat201
6,cs175
7,Mat267
8,CSC140
9,CS475
10,CSU-DS
11,UH-AI
12,CWRU
13,RU-STY1
14,NNSU-IPP
15,Utrect-LC
16,CPSC215
17,FIT3063
19,CS2200
21,CSC301
22,CSWP
23,CSMP
24,CSCI136
25,aal
26,cal2
27,fis1
28,q1
29,cal3
31,dsw
32,sed
33,mn
34,pm
35,fis2
37,bid
38,ds
39,io
44,ii
