id,nombre
1,MAT171
2,CSC221
3,CSC207
4,CS552
5,COSCMat201
6,CS175
7,MAT267 
8,CSC140
9,CS475
10,CSU-DS
11,UH-AI
12,CWRU
13,RU STY1
14,NNSU-IPP
15,Utrect-LC
16,215
17,FIT3063
18,CS169
19,CS2200
20,CMU-TEGS
21,CSC301
22,CSWP
23,CSMP
24,CSCI-136
25,CSC-161 
26,CS-1101
