ID,REL
3,2
5,2
5,1
6,3
6,5
7,5
7,1
8,7
9,6
9,5
11,7
12,8
13,9
14,10
15,14
16,7
17,11
17,13
19,10
20,17
21,18
22,10
22,19
24,22
24,20
25,21
25,22
26,19
27,22
28,20
30,16
31,28
32,25
33,30
32,26
36,18
36,31
37,32
38,33
