id,nombre
1,b1
2,m1
4,M3
5,teosis
6,B3
7,B4
8,M2p
9,M4
10,I1
13,M7
14,M5
20,A5
23,A8
24,A9
30,quim
31,introsis
32,sisbio
33,siseco
34,fis1
35,sisapp
36,poo
37,fis2
38,msb
39,md
40,maapp
41,io
42,io2
